tag,description,potential_paste_1,code_1,potential_paste_2,code_2,potential_paste_3,code_3,notes
indaryn_status,,Events Update: Indaryn has been killed.,,,,,,
under_the_table_quest_indaryn,,,,,,,,
romlyn_dreth_status,,Events Update: Romlyn Dreth has died.,,,,,,
under_the_table_quest,,,,,,,,
niluva_hlaalu_status,,Events Update: Niluva Hlaalu has died.,,,,,,
ungrien_status,,Events Update: Ungrien has died.,,,,,,
vulwulf_snow-shod_status,,Events Update: Vulwulf Snow-Shod has died.,,,,,,
nura_snow-shod_status,,Events Update: Nura Snow-Shod has died.,,,,,,
temple_of_mara,,custom,,,,,,
dinya_balu_pregnancy_status,,Events Update: Dinya Balu has given birth to her and Maramal's child.,,,,,,
dinya_balu_status,,Events Update: Dinya Balu has died.,,,,,,
ivarstead_mara_quest,,,,,,,,
markarth_mara_quest,,,,,,,,
briehl_status,,Events Update: Briehl has died.,,,,,,
alessandra_status,,Events Update: Alessandra has died.,,,,,,
pilgrimage_quest,,,,,,,,
balimund_status,,Events Update: Balmund has died.,,,,,,
asbjorn_fire-tamer_status,,Events Update: Asbjorn Fire-Tamer has died.,,,,,,
honorhall_orphanage,,custom,,,,,,
grelod_the_kind_status,,Events Update: Grelod the Kind has been killed.,,,,,,
constance_michel_status,,Events Update: Constance Michel has died.,,,,,,
ingun_black-briar_status,,Events Update: Ingun Black-Briar has died.,,,,,,
sibbi_black-briar_status,,Events Update: Sibbi Black-Briar has died.,,,,,,
the_lover's_requital_quest,,,,,,,,
riften_jail,,custom,,,,,,
mistveil_keep,,custom,,,,,,
mistveil_keep_civil_war,,"Mistveil Keep Events Update: Jarl Laila Law-Giver, along with her family, her personal housecarl Unmid Snow-Shod, and her steward Anuriel, have been forced to flee in exile as a result of the Imperial takeover of Riften. Maven Black-Briar is now the jarl; her eldest son Hemming is the new court steward, and her enforcer Maul is now her personal housecarl. Legate Fasendil now commands local Imperial Legion forces from the palace.",,,,,,
the_rift_thane_quest,,,,,,,,
harrald_status,,"Events Update: Harrald (adult, Jarl Laila Law-Giver's eldest son) has died.",,,,,,
saerlund_status,,"Events Update: Saerlund (adult, Jarl Laila Law-Giver's youngest son) has died.",,,,,,
wylandriah_status,,Events Update: Wylandriah has died.,,,,,,
riften_thieves_guild_influence,,,,,,,,Just for Riften guards maybe?
thieves_guild,,custom,,,,,,
reparations_quest,,"Events Update: {player_name} has wronged a member(s) of the Thieves Guild in some way, and must pay restitution (this is handled by Vex) before being able to once again enjoy the privileges of being a Guild member. Guild members and others who work closely with the Guild are forbidden from doing business with {player_name} until such restitution occurs.",,,,,,
ragged_flagon,,custom,,,,,,
vekel_the_man_status,,Events Update: Vekel the Man has died.,,,,,,
tonilia_status,,Events Update: Tonilia has died.,,,,,,
dirge_status,,Events Update: Dirge has died.,,,,,,
arnskar_ember-master_status,,Events Update: Arnskar Ember-Master has died.,,,,,,
herluin_lothaire_status,,Events Update: Herluin Lothaire has died.,,,,,,
syndus_status,,Events Update: Syndus has died.,,,,,,
vanryth_gatharian_status,,Events Update: Vanryth Gatharian has died.,,,,,,
vipir_the_fleet_status,,Events Update: Vipir the Fleet has died.,,,,,,
sapphire_status,,Events Update: Sapphire has died.,,,,,,
thrynn_status,,Events Update: Thrynn has died.,,,,,,
niruin_status,,Events Update: Niruin has died.,,,,,,
cynric_endell_status,,Events Update: Cynric Endell has died.,,,,,,
rune_status,,Events Update: Rune has died.,,,,,,
etienne_rarnis_status,,Events Update: Etienne has reportedly died.,,,,,,
ravyn_imyan_status,,"Events Update: Ravyn Imyan (male Dunmer, newer Thieves Guild member) has died.",,,,,,
garthar_status,,"Events Update: Ravyn Imyan (male Nord, newer Thieves Guild member) has died.",,,,,,
a_chance_arrangement_quest,,"Events Update: {player_name} accepted the job offered by Brynjolf, successfully stealing Madesi's ring from his grand plaza marketplace stall and planting it on Brand-Shei, leading to Brand-Shei's arrest and the Guild's client's satisfaction.",,,,,,
meet_the_family_quest,,Awareness Addendum: They are aware that {player_name} (the player) is now a member of the Thieves Guild.,,,,,,
hard_answers_quest,,,,,,,,
blindsighted_quest,,"Events Update: Mercer Frey has been exposed as a traitor to the Thieves Guild and as having looted the guild's vault as his personal spoils. He was eventually hunted down and killed by {player_name} (the player), Brynjolf, and Karliah (she was revealed to actually be innocent of killing Gallus, the guild's former guildmaster; Mercer was actually the one who killed him). ",,,,,,
darkness_returns_quest,,,,,,,,
nightingales,,custom,,,,,,
summerset_shadows_quest,,,,,,,,
imitation_amnesty_quest,,,,,,,,
silver_lining_quest,,,,,,,,
the_dainty_sload_quest,,,,,,,,
under_new_management_quest,,"Events Update: Largely due to {player_name}'s efforts, the Thieves guild has been successful in reestablishing its historic footholds in Skyrim's major cities. {player_name} has now been named as its new guildmaster.",,,,,,
dravin_llanith_status,,Events Update: Dravin Llanith has died.,,,,,,
synda_llanith_status,,Events Update: Synda Llanith has died.,,,,,,
bow_to_the_master_quest,,,,,,,,
addvild_status,,Events Update: Addvild has died.,,,,,,
leonara_arius_status,,Events Update: Leonara Arius has died.,,,,,,
repentance_quest,,,,,,,,
shor's_stone,,custom,,,,,,
mine_or_yours_quest,,,,,,,,
filnjar_status,,Events Update: Filnjar has died.,,,,,,
odfel_status,,Events Update: Odfel has died.,,,,,,
grogmar_gro-burzag_status,,Events Update: Grogmar gro-Burzag has died.,,,,,,
sylgja_status,,Events Update: Sylgja has died.,,,,,,
redbelly_mine,,custom,,,,,,
heartwood_mill,,custom,,,,,,
flight_or_fight_quest,,Events Update: It was discovered (by {player_name}) that Leifnarr was murdered by bandits (who are presumably now dead) while he was attempting to secure a good deal for the sale of their wood.,,,,,,
grosta_status,,Events Update: Grosta has died.,,,,,,
largashbur,,custom,,,,,,
the_cursed_tribe_quest,,"Events Update: Chief Yamarz is dead, having suffered from Malacath's wrath. Gularzob is the new chief of Largashbur, and the curse on the tribe has been lifted. {player_name} (the player) helped catalyze these events.",,,,,,
atub_status,,Events Update: Atub has died.,,,,,,
garakh_status,,Events Update: Garakh has died.,,,,,,
gularzob_status,,Events Update: Chief Gularzob has died.,,,,,,
lob_status,,Events Update: Lob has died.,,,,,,
ogol_status,,Events Update: Ogol has died.,,,,,,
ugor_status,,Events Update: Ugor has died.,,,,,,
froki_whetted-blade_status,,Events Update: Froki Whetted-Blade has died.,,,,,,
kyne's_sacred_trials_quest,,,,,,,,
sarethi_farm,,custom,,,,,,
avrusa_sarethi_status,,Events Update: Avrusa Sarethi has died.,,,,,,
aduri_sarethi_status,,Events Update: Aduri Sarethi has died.,,,,,,
ivarstead,,custom,,,,,,
vilemyr_inn,,custom,,,,,,
wilhelm_marriage_status,,Events Update: Wilhelm has gotten married to {player_name}.,,,,,,
temba_wide-arm_status,,Events Update: Temba Wide-Arm has died.,,,,,,
gwilin_status,,Events Update: Gwilin has died.,,,,,,
jofthor_status,,Events Update: Jofthor has died.,,,,,,
boti_status,,Events Update: Boti has died.,,,,,,
fastred_status,,Events Update: Fastred has died.,,,,,,
bassianus_axius_status,,Events Update: Bassianus Axius has died.,,,,,,
klimmek_status,,Events Update: Klimmek has died.,,,,,,
lynly_star-sung_status,,Events Update: Lynly Star-Sung has died.,,,,,,
shroud_hearth_barrow_quest,,,,,,,,
greybeards,,custom,,,,,,
paarthurnax_status,,Events Update: Paarthurnax has been slain by the Dovahkiin ({player_name}).,,,,,,
,,,,,,,,
hall_of_the_vigilant_destroyed,,"Events Update: The Hall of the Vigilant (a base of the Vigil of Stendarr, located southwest of Dawnstar) has been set ablaze and destroyed by vampires. Most of the Vigilants there were killed in this attack.",getstagedone DLC1VQ01MiscObjective 10 = 1,,,,,
bloodline_quest,,"Events Update: After escorting Serana to Castle Volkihar, {player_name} (the player) chose to reject Lord Harkon's gift (pureblood vampirism), and was therefore cast out of the castle.",getstagedone DLC1VQ02 30 = 1,"Events Update: After escorting Serana to Castle Volkihar, {player_name} (the player) chose to accept Lord Harkon's gift (pureblood vampirism), and is now a member of Harkon's court.",getstagedone DLC1VQ02 40 = 1,,,
dawnguard,,custom,,,,,,
dawnguard_chosen,,Events Update: {player_name} (the player) has joined the Dawnguard.,getstagedone DLC1VQ02 30 = 1,,,,,
a_new_order_quest,,"Events Update: {player_name} has recruited Gunmar and Sorin Jurard to the Dawnguard. A vampire named Serana has arrived at Fort Dawnguard, stating her willingness to help against the vampire threat.",getquestcompleted DLC1HunterBaseIntro = 1,,,,,
prophet-dawnguard_quest,,"Events Update: {player_name} and Serana have rescued the Moth Priest named Dexion from a vampire ambush, and have brought him to Fort Dawnguard.",getquestcompleted DLC1VQ03Hunter = 1,,,,,
irsan_status,,Events Update: Isran has been killed.,,,,,,
celann_status,,Events Update: Celann has died.,,,,,,
durak_status,,Events Update: Durak has died.,,,,,,
agmaer_status,,Events Update: Agmaer has died.,,,,,,
gunmar_status,,Events Update: Gunmar has been killed.,,,,,,
sorine_jurard_status,,Events Update: Sorine Jurard has been killed.,,,,,,
beleval_status,,Events Update: Beleval has died.,,,,,,
ingjard_status,,Events Update: Ingjard has died.,,,,,,
florentius_baenius_status,,Events Update: Florentius Baenius has been killed.,,,,,,
volkihar,,custom,,,,,,
volkihar_vampirism_cured_detector,,"Awareness Update: It appears that {player_name}, for some reason, is no longer a pureblood vampire. If {player_name} is to resume being respected and welcome at Castle Volkihar, they will need to reacquire the gift (either from Harkon [if he is still alive], or from Serana).",,,,,,
feran_sadri_status,,Events Update: Feran Sadri has been killed.,,,,,,
fura_bloodmouth_status,,Events Update: Fura Bloodmouth has been killed.,,,,,,
garan_marethi_status,,Events Update: Garan Marethi has been killed.,,,,,,
hestla_status,,Events Update: Hestla has been killed.,,,,,,
modhna_status,,Events Update: Modhna has been killed.,,,,,,
namasur_status,,Events Update: Namasur has been killed.,,,,,,
orthjolf_status,,Events Update: Orthjolf has been killed.,,,,,,
rargal_thrallmaster_status,,Events Update: Rargal Thrallmaster has been killed.,,,,,,
ronthil_status,,Events Update: Ronthil has been killed.,,,,,,
salonia_caelia_status,,Events Update: Salonia Caelia has been killed.,,,,,,
stalf_status,,Events Update: Stalf has been killed.,,,,,,
vingalmo_status,,Events Update: Vingalmo has been killed.,,,,,,
cusith_status,,Events Update: CuSith has been killed.,,,,,,
garmr_status,,Events Update: Garmr has been killed.,,,,,,
touching_the_sky_quest,,,,,,,,
kindred_judgment_quest,,"Events Update: Lord Harkon has been killed by {player_name} and Serana (with the help of Auriel's Bow), as part of the Dawnguard's successful assault on the vampire clan at Castle Volkihar.","""02003BA8"".getav health = 0
AND
getstagedone DLC1VQ02 30 = 1",Events Update: Lord Harkon has been killed by {player_name} and Serana (with the help of Auriel's Bow). {player_name} is now the leader of the Volkihar vampire clan.,"prid  02003BA8, getav health = 0
AND
getstagedone DLC1VQ02 40 = 1",,,
,,,,,,,,
solstheim,,custom,,,,,,
raven_rock,,custom,,,,,,
earth_stone_status,,"Events Update: Thanks to {player_name} (the player), the nefarious structure around the Earth Stone (just outside Raven Rock) has been destroyed. This has freed several of Raven Rock's inhabitants from the mental domination and ensuing forced labor (while in a trance-like state) that was apparently being propagated by this structure; some of the affected individuals had been compelled to work there day and night, while others had only been affected at night.",,,,,,
raven_rock_mine,,custom,,,,,,
the_final_descent_quest,,"Events Update: Raven Rock's ebony mine is now reopened, thanks largely to the efforts of {player_name} and Crescius Caerellius (who is now the mine's foreman).",,,,,,
aphia_velothi_status,,Events Update: Aphia Velothi has died.,,,,,,
bralsa_drel_status,,Events Update: Bralsa Drel has died.,,,,,,
rirns_llervu_status,,Events Update: Rirns Llervu has died.,,,,,,
garyn_ienth_status,,Events Update: Garyn Ienth has died.,,,,,,
milore_ienth_status,,Events Update: Milore Ienth has died.,,,,,,
fetch_the_netch_quest,,"Events Update: {player_name} (the player) provided Milore with her requested netch jelly samples; Milore was grateful, and provided a few well-being potions as a reward.",,,,,,
an_axe_to_find_quest,,"Events Update: {player_name} (the player) recovered Glover's ancient Nordic pickaxe from Crescius Caerellius. Glover decided to let {player_name} keep the pickaxe; Glover hadn't actually used it in years, and he was primarily just concerned with the principle of the matter.",getstagedone DLC2RR03Intro 20 = 1,"Events Update: {player_name} (the player) tried to recover Glover's ancient Nordic pickaxe from Crescius Caerellius, but Crescius apparently lost the tool as some point. Glover provided some gold to {player_name} regardless, for their trouble.",getstagedone DLC2RR03Intro 25 = 1,,,
paid_in_full_quest,,"Events Update: Following Esmond Tyne's theft of Glover's bonemold formula and Esmond's ill-fated attempt to do business with the rieklings at Castle Karstaag (northwest corner of Solstheim), {player_name} recovered the formula from this remote location and returned it to",,,,,,
a_new_debt_quest,,Events Update: Drovas Relvi's unpaid debt to Mogrul (1000 septims) has been resolved.,,,,,,
mogrul-dragonborn_status,,Events Update: Mogrul (a Raven Rock loan shark) has died.,,,,,,
slitter_status,,Events Update: Slitter has died.,,,,,,
fethis_alor_status,,Events Update: Fethis Alor has died.,,,,,,
dreyla_alor_status,,Events Update: Dreyla Alor has died.,,,,,,
retching_netch,,custom,,,,,,
first_edition_quest,,"Events Update: Thanks to {player_name} (the player), Cindiri Arano's missing First Edition folio - a special copy of The Lusty Argonian Maid lost with the wreck of the Strident Squall - has been recovered and returned, restoring a prized (if scandalous) family h",,,,,,
march_of_the_dead_quest,,"Events Update: Thanks to {player_name} (the player), the ash spawn assaults threatening Raven Rock have been stopped at their source; Fort Frostmoth has been investigated, General Falx Carius has been defeated, and the immediate danger to the settlement has been driven back. ",,,,,,
recipe_for_distraction_quest,,"Events Update: Thanks to {player_name}, Captain Veleth's concerns about his guards being distracted by a hidden stash of Emberbrand Wine have been addressed; the stash has been found and seized, helping the Redoran Guard maintain discipline and readiness within Rav",,,,,,
served_cold_quest,,"Events Update: Thanks to {player_name}, an assassination plot against Councilor Morvayn has been exposed and crushed - evidence was uncovered, the conspirators (Vendil, Tilisu, and Mirri ""Severin) were slain, Ashfallow Citadel (a Morag Tong stronghold in the southeast of Solstheim) was stormed, and Raven Rock's leadership has been secured.",,,,,,
vendil_severin_status,,Events Update: Vendil Severin has been killed.,,,,,,
tilisu_severin_status,,Events Update: Tilisu Severin has been killed.,,,,,,
mirri_severin_status,,Events Update: Mirri Severin has been killed.,,,,,,
raven_rock_temple,,custom,,,,,,
elder_othreloth_status,,Events Update: Elder Othreloth (Raven Rock temple head priest) has died.,,,,,,
galdrus_hlervu_status,,Events Update: Galdrus Hlervu (Raven Rock temple attendant priest) has died.,,,,,,
unearthed_quest,,,,,,,,
frostmoon_crag,,custom,,,,,,
akar_status,,Events Update: Akar has died.,,,,,,
hjordis_status,,Events Update: Hjordis has died.,,,,,,
majni_status,,Events Update: Majni has died.,,,,,,
rakel_status,,Events Update: Rakel has died.,,,,,,
sun_stone_status,,"Events Update: Thanks to {player_name} (the player), the nefarious structure around the Sun Stone (north of Tel Mithryn) has been destroyed. Tel Mithryn's staff are no longer being magically forced to work on the structure at night while in a trance-like state.",,,,,,
tel_mithryn,,custom,,,,,,
reluctant_steward_quest,,"Events Update: Drovas Relvi no longer works at the Retching Netch cornerclub in Raven Rock, and now works as Neloth's new steward at Tel Mithryn.",,,,,,
old_friends_quest,,,,,,,,
talvas_fathryon_status,,Events Update: Talvas Fathyron (Neloth's apprentice) has died.,,,,,,
from_the_ashes_quest,,,,,,,,
elynea_mothren_status,,Events Update: Elynea Mothren (Tel Mithryn's mycologist/apothecary) has died.,,,,,,
ulves_romoran_status,,Events Update: Ulves Romoran (Tel Mithryn's cook) has died.,,,,,,
varona_nelas_status,,Events Update: Varona Nelas was killed by ash spawn while she was making a trip from Tel Mithryn to Raven Rock.,,,,,,
beast_stone_status,,"Events Update: Thanks to {player_name} (the player), the nefarious structure around the Beast Stone (near Thirsk Mead Hall) has been destroyed; Thirsk group members and local Rieklings are no longer being magically forced to work on the structure at night while in a trance-like state.",,,,,,
thirsk,,custom,,,,,,
retaking_thirsk_quest,,,,,,,,
bujold_status,,,"getstage DLC2MH01 >= 200
AND
""0401A512"".getav health = 0",,,,,Don't let Thirsk people know if she's dead before you get back from the barrow
kuvar_status,,Events Update: Kuvar has died.,,,,,,
hilund_status,,Events Update: Hilund has died.,,,,,,
elmus_status,,Events Update: Elmus has died.,,,,,,
halbarn_iron-fur_status,,Events Update: Halbarn Iron-Fur has died.,,,,,,
tree_stone_status_thirsk,,"Events Update: Following the destruction of the foul structure being erected around the Tree Stone and Miraak's temple, Thirsk members Herkja and Sirkjorg were freed from Miraak's mental domination and returned to Thirsk Mead Hall.",,,,,,
herkja_status,,Events Update: Herkja has died.,,,,,,
sirkjorg_status,,Events Update: Sirkjorg has died.,,,,,,
reaver,,custom,,,,,,
skaal_village,,custom,,,,,,
wind_stone_status,,,,,,,,
storn_crag-strider_status,,"Events Update: Immediately after Storn Crag-Strider (Skaal village shaman) reluctantly agreed to yield his guarded Skaal secrets to the demon Herma Mora (Hermaeus Mora) in order to satisfy Mora's ultimatum regarding assisting {player_name} in defeating Miraak (specifically, providing {player_name} with knowledge of the final word of the Bend Will shout), Mora callously killed Storn after extracting his secrets. It was a harrowing incident for the villagers, who subsequently paid their respects to Storn and his sacrifice.",,,,,,
at_the_summit_of_apocrypha_quest,,"Events Update: Miraak has been slain within the Daedric realm of Apocrphya, by {player_name}, putting an end to Miraak's plans to return to and rule the mortal world.",,,,,,
tree_stone_status_skaal,,,,,,,,
a_new_source_of_stalhrim_quest,,,,,,,,
deor_woodcutter_status,,Events Update: Deor Woodcutter has died.,,,,,,
edla_status,,Events Update: Edla has died.,,,,,,
fanari_strong-voice_status,,Events Update: Skaal village leader Fanari Strong-Voice has died.,,,,,,
finna_status,,Events Update: Finna has died.,,,,,,
morwen_status,,Events Update: Morwen has died.,,,,,,
morwen_quest,,,,,,,,
morwen_marriage_status,,Events Update: Morwen and {player_name} have gotten married.,,,,,,
oslaf_status,,Events Update: Oslaf has died.,,,,,,
tharstan_status,,Events Update: Tharstan has died.,,,,,,
lost_legacy_quest,,,,,,,,
wulf_wild-blood_status,,Events Update: Wulf Wild-Blood has died.,,,,,,
filial_bonds_quest,,,,,,,,
sell_stalhrim_armor_and_weapons_to_ancarion_quest,,,,,,,,
water_stone_status,,,,,,,,
,,,,,,,,AE creation club content
AE_ashfall's_tear,,custom,,,,,,
AE_guests_for_dinner_quest,,,,,,,,
AE_harald_status,,,,,,,,
AE_remnants,,custom,,,,,,
,,,,,,,,Beyond Skyrim: Bruma
BS_bruma,,custom,,,,,,
BS_castle_bruma,,custom,,,,,,
,,,,,,,,VIGILANT
VIGILANT_main_quest,,,,,,,,
,,,,,,,,Moon and Star
MaS_main_quest,,,,,,,,
MaS_little_vivec,,custom,,,,,,
,,,,,,,,The Wheels of Lull
WoL_lull_mor,,custom,,,,,,
,,,,,,,,There is no Daumbra
TiND_daumbra_quest,,,,,,,,
,,,,,,,,Frozen in Time - Definitely Not A Snow Elf Waifu mod
Frozen_in_Time_main_quest,,,,,,,,
,,,,,,,,The Welkynar Knight - Quest
The_Welkynar_Knight_main_quest,,,,,,,,
,,,,,,,,Moonpath to Elsweyr
moonpath_to_elsweyr_main_quest,,,,,,,,
,,,,,,,,Immersive College of Winterhold (and Ultimate College of Winterhold)
ICoW_arch-mage_abdication,,"Events Update: {player_name} has decided to temporarily abdicate from the position of Arch-Mage, in order to be able to better focus on other crises demaning their attention. Tolfdir is now the acting Arch-Mage of the College.",,,,,,
,,,,,,,,
Help_The_Warrens_main_quest,,"Events Update: Thanks to the compassionate renovation efforts of a woman named Alith, The Warrens have lately become a more bearable place to live.",,,,,,
Help_The_Warrens_main_quest_alith,,Events Update: {player_name} has helped Alith gather all the items on her list. Alith has subsequently been successful in making The Warrens a more bearable place to live.,,,,,,
Help_The_Warrens_a_cure_for_cairine_quest,,"Events Update: Thanks to {player_name}'s efforts (namely, retrieving a golden hagraven feather), Cairine has been cured of her chronic illness. With {player_name} and Alith's help, Cairine now sleeps in a proper bed and has a job as a blacksmithing apprentice for Moth gro-Bagol at Understone Keep.",,,,,,
